
Loading weights:   0%|          | 0/439 [00:00<?, ?it/s]
stage2:   2%|▏         | 92/4218 [01:09<50:21,  1.37it/s]
stage2:   2%|▏         | 93/4218 [01:10<49:53,  1.38it/s]
stage2:   2%|▏         | 94/4218 [01:11<49:57,  1.38it/s]
stage2:   2%|▏         | 95/4218 [01:12<49:34,  1.39it/s]
stage2:   2%|▏         | 96/4218 [01:12<50:17,  1.37it/s]
stage2:   2%|▏         | 97/4218 [01:13<49:44,  1.38it/s]
stage2:   2%|▏         | 98/4218 [01:14<50:03,  1.37it/s]
stage2:   2%|▏         | 99/4218 [01:15<49:36,  1.38it/s]
stage2:   2%|▏         | 100/4218 [01:15<49:29,  1.39it/s]
stage2:   2%|▏         | 101/4218 [01:16<49:25,  1.39it/s]
stage2:   2%|▏         | 102/4218 [01:17<49:45,  1.38it/s]
stage2:   2%|▏         | 103/4218 [01:17<50:17,  1.36it/s]
stage2:   2%|▏         | 104/4218 [01:18<49:50,  1.38it/s]
stage2:   2%|▏         | 105/4218 [01:19<50:07,  1.37it/s]
stage2:   3%|▎         | 106/4218 [01:20<49:41,  1.38it/s]
stage2:   3%|▎         | 107/4218 [01:20<50:19,  1.36it/s]
stage2:   3%|▎         | 108/4218 [01:21<49:48,  1.38it/s]
stage2:   3%|▎         | 109/4218 [01:22<50:28,  1.36it/s]
stage2:   3%|▎         | 110/4218 [01:23<49:35,  1.38it/s]
stage2:   3%|▎         | 111/4218 [01:23<49:36,  1.38it/s]
stage2:   3%|▎         | 112/4218 [01:24<49:20,  1.39it/s]
stage2:   3%|▎         | 113/4218 [01:25<49:47,  1.37it/s]
stage2:   3%|▎         | 114/4218 [01:25<49:30,  1.38it/s]
stage2:   3%|▎         | 115/4218 [01:26<50:10,  1.36it/s]
stage2:   3%|▎         | 116/4218 [01:27<49:37,  1.38it/s]
stage2:   3%|▎         | 117/4218 [01:28<49:57,  1.37it/s]
stage2:   3%|▎         | 118/4218 [01:28<49:17,  1.39it/s]
stage2:   3%|▎         | 119/4218 [01:29<49:51,  1.37it/s]
stage2:   3%|▎         | 120/4218 [01:30<49:34,  1.38it/s]
stage2:   3%|▎         | 121/4218 [01:31<49:11,  1.39it/s]
stage2:   3%|▎         | 122/4218 [01:31<49:14,  1.39it/s]
stage2:   3%|▎         | 123/4218 [01:32<48:42,  1.40it/s]
stage2:   3%|▎         | 124/4218 [01:33<47:51,  1.43it/s]
stage2:   3%|▎         | 125/4218 [01:33<48:19,  1.41it/s]
stage2:   3%|▎         | 126/4218 [01:34<48:13,  1.41it/s]
stage2:   3%|▎         | 127/4218 [01:35<49:00,  1.39it/s]
stage2:   3%|▎         | 128/4218 [01:35<48:13,  1.41it/s]
stage2:   3%|▎         | 129/4218 [01:36<48:06,  1.42it/s]
stage2:   3%|▎         | 130/4218 [01:37<47:47,  1.43it/s]
stage2:   3%|▎         | 131/4218 [01:38<48:44,  1.40it/s]
stage2:   3%|▎         | 132/4218 [01:38<49:02,  1.39it/s]
stage2:   3%|▎         | 133/4218 [01:39<49:32,  1.37it/s]
stage2:   3%|▎         | 134/4218 [01:40<48:58,  1.39it/s]
stage2:   3%|▎         | 135/4218 [01:41<48:43,  1.40it/s]
stage2:   3%|▎         | 136/4218 [01:41<48:05,  1.41it/s]
stage2:   3%|▎         | 137/4218 [01:42<47:49,  1.42it/s]
stage2:   3%|▎         | 138/4218 [01:43<48:22,  1.41it/s]
stage2:   3%|▎         | 139/4218 [01:43<49:18,  1.38it/s]
stage2:   3%|▎         | 140/4218 [01:44<49:09,  1.38it/s]
stage2:   3%|▎         | 141/4218 [01:45<49:42,  1.37it/s]
stage2:   3%|▎         | 142/4218 [01:46<49:14,  1.38it/s]
stage2:   3%|▎         | 143/4218 [01:46<49:40,  1.37it/s]
stage2:   3%|▎         | 144/4218 [01:47<49:01,  1.38it/s]
stage2:   3%|▎         | 145/4218 [01:48<49:15,  1.38it/s]
stage2:   3%|▎         | 146/4218 [01:48<48:50,  1.39it/s]
