
Loading weights:   0%|          | 0/439 [00:00<?, ?it/s]
feature_stats:   1%|          | 89/8435 [00:27<42:09,  3.30it/s]
feature_stats:   1%|          | 90/8435 [00:27<42:19,  3.29it/s]
feature_stats:   1%|          | 91/8435 [00:28<42:29,  3.27it/s]
feature_stats:   1%|          | 92/8435 [00:28<42:37,  3.26it/s]
feature_stats:   1%|          | 93/8435 [00:28<42:50,  3.25it/s]
feature_stats:   1%|          | 94/8435 [00:29<43:03,  3.23it/s]
feature_stats:   1%|          | 95/8435 [00:29<42:42,  3.25it/s]
feature_stats:   1%|          | 96/8435 [00:29<42:21,  3.28it/s]
feature_stats:   1%|          | 97/8435 [00:30<42:20,  3.28it/s]
feature_stats:   1%|          | 98/8435 [00:30<42:30,  3.27it/s]
feature_stats:   1%|          | 99/8435 [00:30<42:40,  3.26it/s]
feature_stats:   1%|          | 100/8435 [00:30<42:31,  3.27it/s]
feature_stats:   1%|          | 101/8435 [00:31<42:09,  3.29it/s]
feature_stats:   1%|          | 102/8435 [00:31<42:39,  3.26it/s]
feature_stats:   1%|          | 103/8435 [00:31<43:02,  3.23it/s]
feature_stats:   1%|          | 104/8435 [00:32<42:55,  3.23it/s]
feature_stats:   1%|          | 105/8435 [00:32<42:35,  3.26it/s]
feature_stats:   1%|▏         | 106/8435 [00:32<42:20,  3.28it/s]
feature_stats:   1%|▏         | 107/8435 [00:33<42:48,  3.24it/s]
feature_stats:   1%|▏         | 108/8435 [00:33<42:39,  3.25it/s]
feature_stats:   1%|▏         | 109/8435 [00:33<42:29,  3.27it/s]
feature_stats:   1%|▏         | 110/8435 [00:34<42:15,  3.28it/s]
feature_stats:   1%|▏         | 111/8435 [00:34<42:00,  3.30it/s]
feature_stats:   1%|▏         | 112/8435 [00:34<41:58,  3.30it/s]
feature_stats:   1%|▏         | 113/8435 [00:34<41:53,  3.31it/s]
feature_stats:   1%|▏         | 114/8435 [00:35<41:46,  3.32it/s]
feature_stats:   1%|▏         | 115/8435 [00:35<41:49,  3.32it/s]
feature_stats:   1%|▏         | 116/8435 [00:35<41:41,  3.33it/s]
feature_stats:   1%|▏         | 117/8435 [00:36<41:38,  3.33it/s]
feature_stats:   1%|▏         | 118/8435 [00:36<41:40,  3.33it/s]
feature_stats:   1%|▏         | 119/8435 [00:36<42:12,  3.28it/s]
feature_stats:   1%|▏         | 120/8435 [00:37<41:59,  3.30it/s]
feature_stats:   1%|▏         | 121/8435 [00:37<41:59,  3.30it/s]
feature_stats:   1%|▏         | 122/8435 [00:37<42:16,  3.28it/s]
feature_stats:   1%|▏         | 123/8435 [00:37<42:19,  3.27it/s]
feature_stats:   1%|▏         | 124/8435 [00:38<42:20,  3.27it/s]
feature_stats:   1%|▏         | 125/8435 [00:38<42:19,  3.27it/s]
feature_stats:   1%|▏         | 126/8435 [00:38<42:36,  3.25it/s]
feature_stats:   2%|▏         | 127/8435 [00:39<42:27,  3.26it/s]
feature_stats:   2%|▏         | 128/8435 [00:39<42:12,  3.28it/s]
